bot,Apasi
bott...,Apasi
bot..,Apasi
bottt,Apasi
bott,Apasi
booot,Apasi
boot,Apasi
/bot,Apasi
goodbye,end
ok sama-sama..,end
ok sama-sama.,end
ok sama-sama,end
Ok sampai jumpa....,end
Oke sampai jumpa....,end
Ok sampai jumpa...,end
Oke sampai jumpa...,end
Ok sampai jumpa..,end
Oke sampai jumpa..,end
Oke sampai jumpa.,end
Ok sampai jumpa.,end
Oke sampai jumpa,end
Ok sampai jumpa,end
Ya sudah kalo begitu,end
Ya sudah kalau begitu,end
Ya sudah kalau gitu....,end
Ya sudah kalau gitu..,end
Ya sudah kalau gitu.,end
Ya sudah kalau gitu,end
See you,end
Ya sudah kalo gitu....,end
Ya sudah kalo gitu...,end
Ya sudah kalo gitu..,end
Ya sudah kalo gitu.,end
Ya sudah kalo gitu,end
Ya dah kalo gitu....,end
Ya dah kalo gitu...,end
Ya dah kalo gitu..,end
Ya dah kalo gitu.,end
Ya dah kalo gitu,end
Ya udah kalo gitu....,end
Ya udah kalo gitu...,end
Ya udah kalo gitu..,end
Ya udah kalo gitu.,end
Ya udah kalo gitu,end
oke kalau begitu,end
ok kalau begitu,end
ok sama-sama...,end
bye,end
sampai jumpa,end
ya udah kalau gitu,end
close,end
/end,end
selesai,end
end,end
/close,end
masamaa..,end
masaama,end
masama,end
ngantuk cuy,end
ngantuk deh,end
ngantuk,end
sekian,end
tak da,end
ndak,end
ndak jadi,end
tyduck,end
tydak,end
tydack,end
tidak,end
sampai disini dulu ya....,end
sampai disini dulu ya...,end
sampai disini dulu ya..,end
sampai disini dulu ya.,end
sampai disini dulu ya,end
udahan dulu ya....,end
udahan dulu ya...,end
udahan dulu ya..,end
udahan dulu ya.,end
udahan dulu ya,end
cukup....,end
cukup...,end
cukup..,end
cukup.,end
cukup,end
tak ada....,end
tak ada...,end
tak ada..,end
tak ada.,end
tak ada,end
tidak ada....,end
tidak ada...,end
tidak ada..,end
tidak ada.,end
tidak ada,end
ok sama2....,end
ok sama2...,end
ok sama2..,end
ok sama2.,end
ok sama2,end
oke sama2....,end
oke sama2...,end
oke sama2..,end
oke sama2.,end
oke sama2,end
oke sama-sama....,end
oke sama-sama...,end
oke sama-sama..,end
oke sama-sama.,end
oke sama-sama,end
ok sama-sama....,end
hay,Hai
halooooooo,Hai
/halo,Hai
/hallo,Hai
halooo,Hai
/hai,Hai
Hai bot,Hai
hey bot,Hai
hei bot,Hai
haii bot,Hai
hello bot,Hai
helloo bot,Hai
haloo,Hai
halo,Hai
halloo,Hai
hallo,Hai
halllooo,Hai
haloooo,Hai
haiiiiii,Hai
haiii,Hai
haii,Hai
hai,Hai
/hi,Hai
/hello,Hai
/hay,Hai
hiiii,Hai
hiii,Hai
hii,Hai
hi,Hai
hello,Hai
Hello bot apa yang bisa kamu lakukan ?,Job
Uji bot,Job
Cek bot,Job
Yang bisa kamu lakukan apa,Job
Yang bisa kamu lakukan apa ?,Job
"Hai Bot, kamu bisa apa ?",Job
Hai Bot kamu bisa apa ?,Job
Halo Bot kamu bisa apa,Job
"Halo Bot, kamu bisa apa ?",Job
Halo Bot kamu bisa apa ?,Job
Anda dapat melakukan apa ?,Job
Anda bisa melakukan apa ?,Job
"Hai bot, apa yang bisa kamu lakukan ?",Job
Hei bot apa yang bisa kamu lakukan ?,Job
Hai bot apa yang dapat kamu lakukan,Job
Hai bot apa yang bisa kamu lakukan,Job
Hai bot apa yang dapat kamu lakukan ?,Job
Hai bot apa yang bisa kamu lakukan ?,Job
Oalah,Job
keunggulanmu apa ?,Job
kelebihanmu apa ?,Job
kamu bisa apa ?,Job
bot kamu bisa apa ?,Job
bisa apa ?,Job
apa yang bisa kamu lakukan ?,Job
Ada yang bisa kamu lakukan ?,Job
kemampuanmu apa ?,Job
oke,KRS
Oke boleh,KRS
ok boleh,KRS
ok,KRS
Oke deh kalo gitu,KRS
Ok deh kalo gitu,KRS
Ada info apa ?,KRS
Info dong,KRS
Info apa ?,KRS
Bagi info dong,KRS
Info,KRS
/info,KRS
Krs,KRS
info menarik apa ?,KRS
iya mau,KRS
boleh,KRS
apa itu ?,KRS
Silahkan,KRS
Lanjutkan,KRS
Mana infonya ?,KRS
Oalah.. Mana infonya ?,KRS
Infonya ?,KRS
Infonya mana ?,KRS
Mana ?,KRS
parahhhh,Marah
parahhh,Marah
parahh,Marah
aduh,Marah
duh,Marah
cacad....,Marah
cacad...,Marah
cacad..,Marah
cacad.,Marah
parah,Marah
cacat....,Marah
cacat...,Marah
cacat..,Marah
cacat.,Marah
cacad,Marah
cacat,Marah
gak pecus,Marah
bot kamu gak beres,Marah
kamu gak beres,Marah
greget,Marah
sialan,Marah
begok....,Marah
begok...,Marah
begok..,Marah
begok.,Marah
begok,Marah
bego....,Marah
bego...,Marah
bego..,Marah
bego.,Marah
bego,Marah
Tolol....,Marah
Tolol...,Marah
Tolol..,Marah
Tolol.,Marah
Tolol,Marah
tempek....,Marah
tempek...,Marah
tempek..,Marah
tempek.,Marah
tempek,Marah
kontol....,Marah
kontol...,Marah
kontol..,Marah
kontol.,Marah
kontol,Marah
asu....,Marah
asu...,Marah
asu..,Marah
asu.,Marah
goblok....,Marah
goblok...,Marah
goblok..,Marah
goblok.,Marah
goblok,Marah
anyinng....,Marah
anyinng...,Marah
anyinng..,Marah
anyinng.,Marah
Anyinnggg,Marah
Annyingg,Marah
Anyinng,Marah
gatel..,Marah
Anying,Marah
Dancok....,Marah
Dancok...,Marah
Dancok..,Marah
Dancok.,Marah
Dancok,Marah
Kamu kok gak jelas seh,Marah
Kamu kok gak jelas ?,Marah
Kamu ko gak jelas,Marah
Gj amat sih,Marah
Gj amat seh,Marah
GJ,Marah
Gaje,Marah
kamu kok gak jelas sih,Marah
kamu kok gak jelas,Marah
gak jelas amat,Marah
gak jelas,Marah
sialan lu,Marah
bajingan,Marah
bajing,Marah
asu,Marah
jancok,Marah
cok,Marah
Ini gak jelas,Marah
Anyingg,Marah
gateell,Marah
gatell,Marah
Gatel,Marah
Semakin gak jelas,Marah
Gak sesuai perintah,Marah
Gak sesuai,Marah
setan,Marah
fuck,Marah
shit,Marah
bastard,Marah
bitch,Marah
hancuk,Marah
kamvret,Marah
kamvrett,Marah
anjinkk,Marah
Anjink,Marah
assyu,Marah
asyu,Marah
coegg,Marah
coeg,Marah
cox,Marah
cux,Marah
cuk,Marah
keren bosquee...,ThankYou
Ok terima kasih,ThankYou
ok ty,ThankYou
oke thank you,ThankYou
oke terima kasih,ThankYou
thanks,ThankYou
terima kasih,ThankYou
makasih,ThankYou
Oke mantap,ThankYou
Mantap,ThankYou
Keren,ThankYou
Anjay,ThankYou
Mantul,ThankYou
Keren dah,ThankYou
Oke bagus,ThankYou
ok bagus,ThankYou
Oke good,ThankYou
ok good,ThankYou
oke bot,ThankYou
ok bot,ThankYou
Ok siap,ThankYou
Ok siap..,ThankYou
Ok siap.,ThankYou
Ok siap...,ThankYou
Ok siap....,ThankYou
Oke siap,ThankYou
Oke siap.,ThankYou
Oke siap..,ThankYou
Oke siap...,ThankYou
Oke siap....,ThankYou
Oke siapp,ThankYou
Oke siappp,ThankYou
Oke siapppp,ThankYou
Ok siapp,ThankYou
Ok siappp,ThankYou
Ok siapppp,ThankYou
Asyiap,ThankYou
Asyiapp,ThankYou
Asyiappp,ThankYou
Asyiapppp,ThankYou
infonya mantap,ThankYou
infonya mantap.,ThankYou
infonya mantap..,ThankYou
infonya mantap...,ThankYou
infonya mantap....,ThankYou
mantul bosque,ThankYou
mantul bosque.,ThankYou
mantul bosque..,ThankYou
mantul bosque...,ThankYou
mantul bosque....,ThankYou
keren bosquee,ThankYou
keren bosquee.,ThankYou
keren bosquee..,ThankYou
mantap bot,ThankYou
mantap bot.,ThankYou
mantap bot..,ThankYou
mantap bot...,ThankYou
mantap bot....,ThankYou
Ntap,ThankYou
Ntap.,ThankYou
Ntap..,ThankYou
Ntap...,ThankYou
Ntap....,ThankYou
Ntap bosquee,ThankYou
Ntap bosque,ThankYou
Ntap bosqueee,ThankYou
Ntap bosque.,ThankYou
Ntap bosque..,ThankYou
Ntap bosque...,ThankYou
Ntap bosque....,ThankYou
Ntap bosquee.,ThankYou
Ntap bosquee...,ThankYou
Ntap bosquee..,ThankYou
Ntap bosquee....,ThankYou
/start,welcome
/welcome,welcome
start,welcome
welcome,welcome
